="",="(1)"
="",="Farm share"
="Ln GDP pc PPP (2011 constant)",="-0.054***"
="",="(0.013)"
="Productivity scaled (gross production value(constant 100 million US)/agriculture",="0.011"
="",="(0.043)"
="food_tobacco",="-0.037***"
="",="(0.013)"
="foodservice_accommodation",="-0.203***"
="",="(0.014)"
="Constant",="0.815***"
="",="(0.139)"
="Observations",="844"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
